dex_no,name_en,generation,forms,category,height_m,weight_kg,hatch_time,name_fr,name_es,name_de,name_it,has_gender,female_percent,male_percent,is_breedable,catch_rate,leveling_rate,pokedex_colour,base_friendship,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_experience_yield,egg_group_0,egg_group_1,type_0,type_1,ev_yield_hp,ev_yield_attack,ev_yield_defense,ev_yield_special_attack,ev_yield_special_defense,ev_yield_speed,description_violet,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level,bulbapedia_link
140,Kabuto,1,1,Shellfish Pokemon,0.5,11.5,30,Kabuto,Kabuto,Kabuto,Kabuto,TRUE,12.5,87.5,TRUE,45,Medium Fast,Brown,70,30,80,90,55,45,55,71,Water 1,Water 3,Rock,Water,0,0,1,0,0,0,,Swift Swim,Battle Armor,Weak Armor,FALSE,FALSE,TRUE,basic,40,https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon)
141,Kabutops,1,1,Shellfish Pokemon,1.3,40.5,30,Kabutops,Kabutops,Kabutops,Kabutops,TRUE,12.5,87.5,TRUE,45,Medium Fast,Brown,70,60,115,105,65,70,80,173,Water 1,Water 3,Rock,Water,0,2,0,0,0,0,,Swift Swim,Battle Armor,Weak Armor,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon)
142,Aerodactyl,1,1,Fossil Pokemon,1.8,59,35,Ptera,Aerodactyl,Aerodactyl,Aerodactyl,TRUE,12.5,87.5,TRUE,45,Slow,Purple,70,80,105,65,60,75,130,180,Flying,,Rock,Flying,0,0,0,0,0,2,,Rock Head,Pressure,Unnerve,FALSE,FALSE,FALSE,basic,,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon)
143,Snorlax,1,1,Sleeping Pokemon,2.1,460,40,Ronflex,Snorlax,Relaxo,Snorlax,TRUE,12.5,87.5,TRUE,25,Slow,Black,70,160,110,65,65,110,30,189,Monster,,Normal,,2,0,0,0,0,0,Its stomach's digestive juices can dissolve any kind of poison. Eating things off the ground doesn't bother it at all.,Immunity,Thick Fat,Gluttony,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon)
144,Articuno,1,2,Freeze Pokemon,1.7,55.4,80,Artikodin,Articuno,Arktos,Articuno,TRUE,0,,FALSE,3,Slow,Blue,35,90,85,100,95,125,85,261,No Eggs Discovered,,Ice,Flying,0,0,0,0,3,0,,Pressure,,Snow Cloak,TRUE,FALSE,FALSE,basic,,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon)
145,Zapdos,1,2,Electric Pokemon,1.6,52.6,80,electhor,Zapdos,Zapdos,Zapdos,FALSE,0,0,FALSE,3,Slow,Yellow,35,90,90,85,125,90,100,261,No Eggs Discovered,,Electric,Flying,0,0,0,3,0,0,,Pressure,,Static,TRUE,FALSE,FALSE,basic,,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon)
146,Moltres,1,2,Flame Pokemon,2,60,80,Sulfura,Moltres,Lavados,Moltres,TRUE,0,,FALSE,3,Slow,Yellow,35,90,100,90,125,85,90,261,No Eggs Discovered,,Fire,Flying,0,0,0,3,0,0,,Pressure,,Flame Body,TRUE,FALSE,FALSE,basic,,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon)
147,Dratini,1,1,Dragon Pokemon,1.8,3.3,40,Minidraco,Dratini,Dratini,Dratini,TRUE,50,50,TRUE,45,Slow,Blue,35,41,64,45,50,50,50,60,Water 1,Dragon,Dragon,,0,1,0,0,0,0,It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.,Shed Skin,,Marvel Scale,FALSE,FALSE,TRUE,basic,30,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon)
148,Dragonair,1,1,Dragon Pokemon,4,16.5,40,Draco,Dragonair,Dragonir,Dragonair,TRUE,50,50,TRUE,45,Slow,Blue,35,61,84,65,70,70,70,147,Water 1,Dragon,Dragon,,0,2,0,0,0,0,"It is called the divine Pokemon. When its entire body brightens slightly, the weather changes.",Shed Skin,,Marvel Scale,FALSE,FALSE,TRUE,stage 1,55,https://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon)
149,Dragonite,1,1,Dragon Pokemon,2.2,210,40,Dracolosse,Dragonite,Dragoran,Dragonite,TRUE,50,50,TRUE,45,Slow,Brown,35,91,134,95,100,100,80,270,Water 1,Dragon,Dragon,Flying,0,3,0,0,0,0,It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.,Inner Focus,,Multiscale,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon)
150,Mewtwo,1,1,Genetic Pokemon,2,122,120,Mewtwo,Mewtwo,Mewtu,Mewtwo,FALSE,0,0,FALSE,3,Slow,Purple,0,106,110,90,154,90,130,306,No Eggs Discovered,,Psychic,,0,0,0,3,0,0,,Pressure,,Unnerve,TRUE,FALSE,FALSE,basic,,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon)
151,Mew,1,1,New Species Pokemon,0.4,4,120,Mew,Mew,Mew,Mew,FALSE,0,0,FALSE,45,Medium Slow,Pink,100,100,100,100,100,100,100,270,No Eggs Discovered,,Psychic,,3,0,0,0,0,0,,Synchronize,,,FALSE,TRUE,FALSE,basic,,https://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon)
152,Chikorita,2,1,Leaf Pokemon,0.9,6.4,20,Germignon,Chikorita,Endivie,Chikorita,TRUE,12.5,87.5,TRUE,45,Medium Slow,Green,70,45,49,65,49,65,45,64,Monster,Grass,Grass,,0,0,0,0,1,0,Its pleasantly aromatic leaf has the ability to check the humidity and temperature of the area around it.,Overgrow,,Leaf Guard,FALSE,FALSE,TRUE,basic,16,https://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon)
153,Bayleef,2,1,Leaf Pokemon,1.2,15.8,20,Macronium,Bayleef,Lorblatt,Bayleef,TRUE,12.5,87.5,TRUE,45,Medium Slow,Green,70,60,62,80,63,80,60,142,Monster,Grass,Grass,,0,0,1,0,1,0,The scent that wafts from the leaves on its neck causes anyone who smells it to become energetic.,Overgrow,,Leaf Guard,FALSE,FALSE,TRUE,stage 1,32,https://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon)
154,Meganium,2,1,Herb Pokemon,1.8,100.5,20,Meganium,Meganium,Meganie,Meganium,TRUE,12.5,87.5,TRUE,45,Medium Slow,Green,70,80,82,100,83,100,80,236,Monster,Grass,Grass,,0,0,1,0,2,0,Meganium's breath holds within it the power to revive grasses and plants that have withered.,Overgrow,,Leaf Guard,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon)
155,Cyndaquil,2,1,Fire Mouse Pokemon,0.5,7.9,20,Hericendre,Cyndaquil,Feurigel,Cyndaquil,TRUE,12.5,87.5,TRUE,45,Medium Slow,Yellow,70,39,52,43,60,50,65,62,Field,,Fire,,0,0,0,0,0,1,The fire that spouts from its back burns hottest when it is angry. The flaring flames intimidate foes.,Blaze,,Flash Fire,FALSE,FALSE,TRUE,basic,14,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon)
156,Quilava,2,1,Volcano Pokemon,0.9,19,20,Feurisson,Quilava,Igelavar,Quilava,TRUE,12.5,87.5,TRUE,45,Medium Slow,Yellow,70,58,64,58,80,65,80,142,Field,,Fire,,0,0,0,1,0,1,"The fur covering this Pokemon's body never burns, no matter what. It can shrug off any kind of fire attack.",Blaze,,Flash Fire,FALSE,FALSE,TRUE,stage 1,36,https://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon)
157,Typhlosion,2,2,VolcanoPokemon,1.7,79.5,20,Typhlosion,Typhlosion,Tornupto,Typhlosion,TRUE,12.5,87.5,TRUE,45,Medium Slow,Yellow,70,78,84,78,109,85,100,240,Field,,Fire,,0,0,0,3,0,0,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",Blaze,,Flash Fire,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon)
158,Totodile,2,1,Big Jaw Pokemon,0.6,9.5,20,Kaiminus,Totodile,Karnimani,Totodile,TRUE,12.5,87.5,TRUE,45,Medium Slow,Blue,70,50,65,64,44,48,43,63,Monster,Water 1,Water,,0,1,0,0,0,0,This rough critter chomps at any moving object it sees. Turning your back on it is not recommended.,Torrent,,Sheer Force,FALSE,FALSE,TRUE,basic,18,https://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon)
159,Croconaw,2,1,Big Jaw Pokemon,1.1,25,20,Crocrodil,Croconaw,Tyracroc,Croconaw,TRUE,12.5,87.5,TRUE,45,Medium Slow,Blue,70,65,80,80,59,63,58,142,Monster,Water 1,Water,,0,1,1,0,0,0,"It opens its huge jaws wide to attack. If it loses fangs while biting, they'll just keep on growing back, one after another.",Torrent,,Sheer Force,FALSE,FALSE,TRUE,stage 1,30,https://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon)
160,Feraligatr,2,1,Big Jaw Pokemon,2.3,88.8,20,Aligatueur,Feraligatr,Impergator,Feraligatr,TRUE,12.5,87.5,TRUE,45,Medium Slow,Blue,70,85,105,100,79,83,78,239,Monster,Water 1,Water,,0,2,1,0,0,0,"Although it has a massive body, its powerful hind legs enable it to move quickly, even on land.",Torrent,,Sheer Force,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon)
161,Sentret,2,1,Scout Pokemon,0.8,6,15,Fouinette,Sentret,Wiesor,Sentret,TRUE,50,50,TRUE,255,Medium Fast,Brown,70,35,46,34,35,45,20,43,Field,,Normal,,0,1,0,0,0,0,"If it encounters a foe, it will stand up on its tail, making itself look bigger than usual to intimidate them.",Run Away,Keen Eye,Frisk,FALSE,FALSE,TRUE,basic,15,https://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon)
162,Furret,2,1,Long Body Pokemon,1.8,32.5,15,Fouinar,Furret,Wiesenior,Furret,TRUE,50,50,TRUE,90,Medium Fast,Brown,70,85,76,64,45,55,90,145,Field,,Normal,,0,0,0,0,0,2,"It is nimble and has a very flexible body. Even if you get ahold of it, it'll slip right out of your arms.",Run Away,Keen Eye,Frisk,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon)
163,Hoothoot,2,1,Owl Pokemon,0.7,21.2,15,Hoothoot,Hoothoot,Hoothoot,Hoothoot,TRUE,50,50,TRUE,255,Medium Fast,Brown,70,60,30,30,36,56,50,52,Flying,,Normal,Flying,1,0,0,0,0,0,"Since it tells time precisely, some countries consider it to be a deity of wisdom, versed in the ways of the world.",Insomnia,Keen Eye,Tinted Lens,FALSE,FALSE,TRUE,basic,20,https://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon)
164,Noctowl,2,1,Owl Pokemon,1.6,40.8,15,Noarfang,Noctowl,Noctuh,Noctowl,TRUE,50,50,TRUE,90,Medium Fast,Brown,70,100,50,50,76,96,70,158,Flying,,Normal,Flying,2,0,0,0,0,0,Its extremely soft wings make no sound in flight. It silently sneaks up on prey without being detected.,Insomnia,Keen Eye,Tinted Lens,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon)
165,Ledyba,2,1,Five Star Pokemon,1,10.8,15,Coxy,Ledyba,Ledyba,Ledyba,TRUE,50,50,TRUE,255,Fast,Red,70,40,20,30,40,80,55,53,Bug,,Bug,Flying,0,0,0,0,1,0,,Swarm,Early Bird,Rattled,FALSE,FALSE,TRUE,basic,18,https://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon)
166,Ledian,2,1,Five Star Pokemon,1.4,35.6,15,Coxyclaque,Ledian,Ledian,Ledian,TRUE,50,50,TRUE,90,Fast,Red,70,55,35,50,55,110,85,137,Bug,,Bug,Flying,0,0,0,0,2,0,,Swarm,Early Bird,Iron Fist,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon)
167,Spinarak,2,1,String Spit Pokemon,0.5,8.5,15,Mimigal,Spinarak,Webarak,Spinarak,TRUE,50,50,TRUE,255,Fast,Green,70,40,60,40,40,40,30,50,Bug,,Bug,Poison,0,1,0,0,0,0,Some fishers weave its sturdy thread into nets to catch fish Pokemon.,Swarm,Insomnia,Sniper,FALSE,FALSE,TRUE,basic,22,https://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon)
168,Ariados,2,1,Long Leg Pokemon,1.1,33.5,15,Migalos,Ariados,Ariados,Ariados,TRUE,50,50,TRUE,90,Fast,Red,70,70,90,70,60,60,40,140,Bug,,Bug,Poison,0,2,0,0,0,0,"It wanders in search of food after darkness falls, never nesting in a specific place.",Swarm,Insomnia,Sniper,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon)
169,Crobat,2,1,Bat Pokemon,1.8,75,15,Nostenfer,Crobat,Iksbat,Crobat,TRUE,50,50,TRUE,90,Medium Fast,Purple,70,85,90,80,70,80,130,241,Flying,,Poison,Flying,0,0,0,0,0,3,,Inner Focus,,Infiltrator,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon)
170,Chinchou,2,1,Angler Pokemon,0.5,12,20,Loupio,Chinchou,Lampi,Chinchou,TRUE,50,50,TRUE,190,Slow,Blue,70,75,38,38,56,56,67,66,Water 2,,Water,Electric,1,0,0,0,0,0,It shoots positively and negatively charged electricity from the tips of its two antennae and stuns its opponents.,Volt Absorb,Illuminate,Water Absorb,FALSE,FALSE,TRUE,basic,27,https://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon)
171,Lanturn,2,1,Light Pokemon,1.2,22.5,20,Lanturn,Lanturn,Lanturn,Lanturn,TRUE,50,50,TRUE,75,Slow,Blue,70,125,58,58,76,76,67,161,Water 2,,Water,Electric,2,0,0,0,0,0,"It blinds prey with an intense burst of light. With the prey incapacitated, the Pokemon swallows it in a single gulp.",Volt Absorb,Illuminate,Water Absorb,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon)
172,Pichu,2,1,Tiny Mouse Pokemon,0.3,2,10,Pichu,Pichu,Pichu,Pichu,TRUE,50,50,TRUE,190,Medium Fast,Yellow,70,20,40,15,35,35,60,41,No Eggs Discovered,,Electric,,0,0,0,0,0,1,"Despite this Pokemon's cute appearance, those who want to live with one should prepare to be on the receiving end of its electric jolts.",Static,,Lightning Rod,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon)
173,Cleffa,2,1,Star Shape Pokemon,0.3,3,10,Melo,Cleffa,Pii,Cleffa,TRUE,75,25,TRUE,150,Fast,Pink,140,50,25,28,45,55,15,44,No Eggs Discovered,,Fairy,,0,0,0,0,1,0,"Since it is often seen when shooting stars fill the night skies, it's said to come here by riding on a star.",Cute Charm,Magic Guard,Friend Guard,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon)
174,Igglybuff,2,1,Balloon Pokemon,0.3,1,10,Toudoudou,Igglybuff,Fluffeluff,Igglybuff,TRUE,75,25,TRUE,170,Fast,Pink,70,90,30,15,40,20,15,42,No Eggs Discovered,,Normal,Fairy,1,0,0,0,0,0,"It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little.",Cute Charm,Competitive,Friend Guard,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon)
175,Togepi,2,1,Spike Ball Pokemon,0.3,1.5,10,Togepi,Togepi,Togepi,Togepi,TRUE,12.5,87.5,TRUE,190,Fast,White,70,35,20,65,40,65,20,49,No Eggs Discovered,,Fairy,,0,0,0,0,1,0,,Hustle,Serene Grace,Super Luck,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon)
176,Togetic,2,1,Happiness Pokemon,0.6,3.2,10,Togetic,Togetic,Togetic,Togetic,TRUE,12.5,87.5,TRUE,75,Fast,White,70,55,40,85,80,105,40,142,Flying,Fairy,Fairy,Flying,0,0,0,0,2,0,,Hustle,Serene Grace,Super Luck,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon)
177,Natu,2,1,Tiny Bird Pokemon,0.2,2,20,Natu,Natu,Natu,Natu,TRUE,50,50,TRUE,190,Medium Fast,Green,70,40,50,45,70,45,70,64,Flying,,Psychic,Flying,0,0,0,1,0,0,,Synchronize,Early Bird,Magic Bounce,FALSE,FALSE,TRUE,basic,25,https://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon)
178,Xatu,2,1,Mystic Pokemon,1.5,15,20,Xatu,Xatu,Xatu,Xatu,TRUE,50,50,TRUE,75,Medium Fast,Green,70,65,75,70,95,70,95,165,Flying,,Psychic,Flying,0,0,0,1,0,1,,Synchronize,Early Bird,Magic Bounce,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon)
179,Mareep,2,1,Wool Pokemon,0.6,7.8,20,Wattouat,Mareep,Voltilamm,Mareep,TRUE,50,50,TRUE,235,Medium Slow,White,70,55,40,40,65,45,35,56,Monster,Field,Electric,,0,0,0,1,0,0,"Its fleece grows continually. In the summer, the fleece is fully shed, but it grows back in a week.",Static,,Plus,FALSE,FALSE,TRUE,basic,15,https://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon)
180,Flaaffy,2,1,Wool Pokemon,0.8,13.3,20,Lainergie,Flaaffy,Waaty,Flaaffy,TRUE,50,50,TRUE,120,Medium Slow,Pink,70,70,55,55,80,60,45,128,Monster,Field,Electric,,0,0,0,2,0,0,"Because of its rubbery, electricity-resistant skin, it can store lots of electricity in its fur.",Static,,Plus,FALSE,FALSE,TRUE,stage 1,30,https://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon)
181,Ampharos,2,1,Light Pokemon,1.4,61.5,20,Pharamp,Ampharos,Ampharos,Ampharos,TRUE,50,50,TRUE,45,Medium Slow,Yellow,70,90,75,75,115,90,55,230,Monster,Field,Electric,,0,0,0,3,0,0,"When it gets dark, the light from its bright, shiny tail can be seen from far away on the ocean's surface.",Static,,Plus,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon)
182,Bellossom,2,1,Flower Pokemon,0.4,5.8,20,Joliflor,Bellossom,Blubella,Bellossom,TRUE,50,50,TRUE,45,Medium Slow,Green,70,75,80,85,90,100,50,221,Grass,,Grass,,0,0,0,0,3,0,"After it grows up, it leaves the forest it was born in to form groups with other Bellossom. It breaks into dance when it gets excited.",Chlorophyll,,Healer,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon)
183,Marill,2,1,Aqua Mouse Pokemon,0.4,8.5,10,Marill,Marill,Marill,Marill,TRUE,50,50,TRUE,190,Fast,Blue,70,70,20,50,20,50,40,88,Water 1,Fairy,Water,Fairy,2,0,0,0,0,0,"The oil-filled tail functions as a buoy, so it's fine even in rivers with strong currents.",Thick Fat,Huge Power,Sap Sipper,FALSE,FALSE,TRUE,stage 1,18,https://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon)
184,Azumarill,2,1,Aqua Rabbit Pokemon,0.8,28.5,10,Azumarill,Azumarill,Azumarill,Azumarill,TRUE,50,50,TRUE,75,Fast,Blue,70,100,50,80,50,80,50,189,Water 1,Fairy,Water,Fairy,3,0,0,0,0,0,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers.",Thick Fat,Huge Power,Sap Sipper,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon)
185,Sudowoodo,2,1,Imitation Pokemon,1.2,38,20,Simularbre,Sudowoodo,Mogelbaum,Sudowoodo,TRUE,50,50,TRUE,65,Medium Fast,Brown,70,70,100,115,30,65,30,144,Mineral,,Rock,,0,0,2,0,0,0,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain.",Sturdy,Rock Head,Rattled,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon)
186,Politoed,2,1,Frog Pokemon,1.1,33.9,20,Tarpaud,Politoed,Quaxo,Politoed,TRUE,50,50,TRUE,45,Medium Slow,Green,70,90,75,75,90,100,70,225,Water 1,,Water,,0,0,0,0,3,0,"It's the leader of Poliwag and Poliwhirl. When Politoed roars, they all cower in fear.",Water Absorb,Damp,Drizzle,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon)
187,Hoppip,2,1,Cottonweed Pokemon,0.4,0.5,20,Granivol,Hoppip,Hoppspross,Hoppip,TRUE,50,50,TRUE,255,Medium Slow,Pink,70,35,35,40,35,55,50,50,Fairy,Grass,Grass,Flying,0,0,0,0,1,0,"Outside of cold regions, Hoppip can be found practically everywhere. This is because the wind carries this species all over the world.",Chlorophyll,Leaf Guard,Infiltrator,FALSE,FALSE,TRUE,basic,18,https://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon)
188,Skiploom,2,1,Cottonweed Pokemon,0.6,1,20,Floravol,Skiploom,Hubelupf,Skiploom,TRUE,50,50,TRUE,120,Medium Slow,Green,70,55,45,50,45,65,80,119,Fairy,Grass,Grass,Flying,0,0,0,0,0,2,"When the weather grows cold, Skiploom's flower closes and the Pokemon cannot photosynthesize, so it flies away to warmer regions.",Chlorophyll,Leaf Guard,Infiltrator,FALSE,FALSE,TRUE,stage 1,27,https://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon)
189,Jumpluff,2,1,Cottonweed Pokemon,0.8,3,20,Cotovol,Jumpluff,Papungha,Jumpluff,TRUE,50,50,TRUE,45,Medium Slow,Blue,70,75,55,70,55,85,110,207,Fairy,Grass,Grass,Flying,0,0,0,0,0,3,"Beware its cotton spores. If you accidentally breathe them in, you'll be racked with coughs and itchiness.",Chlorophyll,Leaf Guard,Infiltrator,FALSE,FALSE,TRUE,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon)
190,Aipom,2,1,Long Tail Pokemon,0.8,11.5,20,Capumain,Aipom,Griffel,Aipom,TRUE,50,50,TRUE,45,Fast,Purple,70,55,70,55,40,55,85,72,Field,,Normal,,0,0,0,0,0,1,"Its tail moves with greater dexterity than its hands. Making deft use of this tail, Aipom lives high among the treetops.",Run Away,Pickup,Skill Link,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon)
191,Sunkern,2,1,Seed Pokemon,0.3,1.8,20,Tournegrin,Sunkern,Sonnkern,Sunkern,TRUE,50,50,TRUE,235,Medium Slow,Yellow,70,30,30,30,30,30,30,36,Grass,,Grass,,0,0,0,1,0,0,It is very weak. Its only means of defense is to shake its leaves desperately at its attacker.,Chlorophyll,Solar Power,Early Bird,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon)
192,Sunflora,2,1,Sun Pokemon,0.8,8.5,20,Heliatronc,Sunflora,Sonnflora,Sunflora,TRUE,50,50,TRUE,120,Medium Slow,Yellow,70,75,75,55,105,85,30,149,Grass,,Grass,,0,0,0,2,0,0,"Since it converts sunlight into energy, it is always looking in the direction of the sun.",Chlorophyll,Solar Power,Early Bird,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon)
193,Yanma,2,1,Clear Wing Pokemon,1.2,38,20,Yanma,Yanma,Yanma,Yanma,TRUE,50,50,TRUE,75,Medium Fast,Red,70,65,65,45,75,45,95,78,Bug,,Bug,Flying,0,0,0,0,0,1,"It can see in all directions without moving its big eyes, helping it spot both attackers and prey right away.",Speed Boost,Compound Eyes,Frisk,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon)
194,Wooper,2,2,Water Fish Pokemon,0.4,8.5,20,Axoloto,Wooper,Felino,Wooper,TRUE,50,50,TRUE,255,Medium Fast,Blue,70,55,45,45,25,25,15,42,Water 1,Field,Water,Ground,1,0,0,0,0,0,"When it walks around on land, it coats its body with a slimy, poisonous film.",Damp,Water Absorb,Unaware,FALSE,FALSE,TRUE,basic,20,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon)
195,Quagsire,2,1,Water Fish Pokemon,1.4,75,20,Maraiste,Quagsire,Morlord,Quagsire,TRUE,50,50,TRUE,90,Medium Fast,Blue,70,95,85,85,65,65,35,151,Water 1,Field,Water,Ground,2,0,0,0,0,0,"Due to its relaxed and carefree attitude, it often bumps its head on riverbed boulders and boat hulls as it swims.",Damp,Water Absorb,Unaware,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon)
196,Espeon,2,1,Sun Pokemon,0.9,26.5,35,Mentali,Espeon,Psiana,Espeon,TRUE,12.5,87.5,TRUE,45,Medium Fast,Purple,70,65,65,60,130,95,110,184,Field,,Psychic,,0,0,0,2,0,0,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.,Synchronize,,Magic Bounce,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon)
197,Umbreon,2,1,Moonlight Pokemon,1,27,35,Noctali,Umbreon,Nachtara,Umbreon,TRUE,12.5,87.5,TRUE,45,Medium Fast,Black,35,95,65,110,60,130,65,184,Field,,Dark,,0,0,0,0,2,0,"When darkness falls, the rings on the body begin to glow, striking fear in the hearts of anyone nearby.",Synchronize,,Inner Focus,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Umbreon_(Pok%C3%A9mon)
198,Murkrow,2,1,Darkness Pokemon,0.5,2.1,20,Cornèbre,Murkrow,Kramurx,Murkrow,TRUE,50,50,TRUE,30,Medium Slow,Black,35,60,85,42,85,42,91,81,Flying,,Dark,Flying,0,0,0,0,0,1,"If spotted, it will lure an unwary person into chasing it, then lose the pursuer on mountain trails.",Insomnia,Super Luck,Prankster,FALSE,FALSE,TRUE,basic,,https://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon)
199,Slowking,2,2,Royal Pokemon,2,79.5,20,Roigada,Slowking,Laschoking,Slowking,TRUE,50,50,TRUE,70,Medium Fast,Pink,70,95,75,80,100,110,30,172,Monster,Water 1,Water,Psychic,0,0,0,0,2,0,"It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.",Oblivious,Own Tempo,Regenerator,FALSE,FALSE,TRUE,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon)
